Winner,White_Weighted_Value,Black_Weighted_Value,White_Centre_Weighted_Value,Black_Centre_Weighted_Value,White_King_Safety,Black_King_Safety,White_Piece_Count,Black_Piece_Count,White_Center_Piece_Count,Black_Center_Piece_Count,White_Opponent_Moves,Black_Opponent_Moves,White_Rook_Positions,White_Queen_Positions,White_Knight_Positions,White_King_Positions,White_Bishop_Positions,Black_Rook_Positions,Black_Queen_Positions,Black_Knight_Positions,Black_King_Positions,Black_Bishop_Positions
Black,9,11,9,0,N,Y,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,19,21,4,7,N,Y,11,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,24,24,6,5,N,N,14,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,20,20,7,5,N,Y,12,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,19,20,2,9,N,Y,12,12,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,14,3,6,N,Y,8,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0
White,9,9,3,1,Y,N,8,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
White,16,14,4,0,Y,N,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
White,10,9,1,2,Y,N,8,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
White,10,13,2,6,Y,N,8,8,2,3,0,0,0,0,0,8,0,0,0,0,8,0
White,13,12,6,5,Y,N,8,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,24,24,3,3,N,Y,14,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,18,18,2,5,Y,N,10,10,1,2,0,0,2,11,0,0,0,20,2,0,11,11
Black,25,25,7,5,N,Y,14,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,15,6,2,N,Y,10,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,20,20,2,9,N,Y,11,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,24,24,4,5,N,Y,14,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,26,22,7,4,Y,N,15,11,4,2,0,0,3,0,5,0,11,16,5,8,5,5
White,11,10,5,6,Y,N,6,6,2,3,0,0,0,9,0,0,0,0,0,0,0,9
White,24,24,6,3,Y,N,14,14,4,3,1,0,3,1,17,2,0,17,5,7,9,14
White,18,18,5,10,N,N,10,10,2,4,6,0,6,10,10,6,0,26,6,0,16,10
White,13,10,3,1,Y,N,10,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
White,5,5,2,2,Y,N,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,22,23,11,2,Y,N,12,13,5,2,0,0,0,2,2,0,2,4,2,2,2,4
Black,18,20,5,1,N,Y,11,12,4,1,4,0,4,0,4,0,0,4,0,0,0,0
Black,15,15,1,1,N,Y,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,18,3,6,N,Y,11,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0
White,11,12,4,0,Y,N,6,7,2,0,0,0,0,0,0,0,1,0,0,1,1,0
White,17,14,3,6,N,N,9,9,2,4,3,0,0,7,0,3,4,3,4,0,4,0
Black,17,17,5,6,N,Y,11,11,3,4,0,0,0,0,0,0,0,0,0,0,0,0
White,7,7,2,2,Y,N,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,21,21,7,8,Y,N,12,12,3,4,3,0,3,2,0,0,2,19,12,9,12,0
White,21,20,5,5,Y,N,12,11,2,3,0,0,1,1,0,2,2,5,3,3,4,3
Black,20,20,3,5,N,Y,13,13,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,18,0,7,N,Y,9,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0
White,12,12,1,1,Y,N,7,7,1,1,0,0,0,0,0,0,0,2,0,0,2,2
Black,8,12,1,2,N,Y,5,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
White,17,15,2,1,Y,N,10,8,2,1,0,0,0,10,0,0,0,24,10,0,14,0
Black,13,14,5,1,N,Y,9,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0
White,15,16,1,7,Y,N,10,10,1,3,2,0,6,0,0,6,0,7,0,0,13,11
Black,14,15,4,3,N,Y,8,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,10,10,3,2,N,Y,7,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,7,7,3,2,Y,N,7,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,19,19,3,7,Y,N,11,11,2,3,0,0,0,9,0,0,0,18,0,5,9,0
Black,18,18,5,11,N,Y,12,12,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,17,5,5,N,Y,10,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,5,5,4,4,Y,N,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,20,21,1,9,N,Y,11,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Black,24,24,6,5,N,Y,14,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,22,2,6,N,N,12,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0
White,6,6,0,3,Y,N,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,26,25,3,3,N,Y,15,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,23,24,3,7,Y,N,13,14,2,5,4,0,4,0,4,0,4,12,8,12,4,4
Black,19,19,6,8,N,Y,12,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0
White,20,21,1,8,N,N,11,12,1,4,5,0,13,0,8,0,5,19,8,7,7,5
White,19,16,3,4,Y,N,11,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,13,13,1,9,Y,N,8,8,1,4,0,0,0,0,0,7,0,0,7,0,7,0
White,12,12,4,0,Y,N,8,8,2,0,0,0,5,0,0,0,0,10,0,0,5,0
White,20,19,3,10,Y,N,11,10,2,5,0,0,0,5,0,2,7,15,12,0,12,17
Black,16,17,4,3,N,Y,10,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,17,16,2,6,N,N,10,10,2,5,0,0,0,3,3,0,0,7,0,7,10,7
White,18,17,9,0,Y,N,11,9,4,0,0,0,0,0,0,8,0,16,8,0,8,8
White,5,4,1,1,Y,N,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
White,6,6,1,3,Y,N,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
White,3,4,3,0,Y,N,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
White,15,13,4,4,Y,N,10,8,3,3,0,0,0,0,0,6,6,6,0,6,6,6
White,25,25,2,7,Y,N,14,14,1,3,1,0,6,1,19,5,5,23,10,21,14,25
Black,23,23,7,6,N,Y,14,14,5,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,17,0,2,N,Y,10,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0
White,24,24,7,5,Y,N,13,13,3,3,4,0,0,11,11,0,8,18,11,18,7,18
Black,15,18,3,5,N,Y,8,11,2,4,7,0,0,0,7,7,0,7,0,7,0,0
White,17,16,3,2,Y,N,10,9,3,2,5,0,0,0,0,0,0,10,0,0,0,0
Black,22,22,7,4,N,Y,12,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,13,12,2,5,Y,N,9,9,2,4,0,0,4,0,0,14,0,4,0,0,10,0
White,11,8,0,6,N,N,6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0
White,16,14,7,0,Y,N,9,7,2,0,0,0,0,7,0,0,0,7,7,0,7,0
White,20,19,7,4,Y,N,11,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0
White,23,23,7,6,Y,N,13,13,3,4,0,0,11,0,24,11,11,4,2,13,13,26
Black,23,24,6,8,N,Y,13,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,22,3,7,N,N,12,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,22,23,2,8,N,Y,12,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0
White,20,19,9,3,Y,N,11,10,3,2,0,0,4,0,0,0,0,0,2,2,2,0
Black,17,17,4,6,N,Y,10,10,3,4,13,0,13,0,13,13,0,0,0,0,0,0
Black,14,17,0,7,N,Y,8,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0
White,21,21,9,3,Y,N,12,12,4,2,3,0,0,8,5,0,8,10,5,3,5,5
Black,8,8,1,0,N,N,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,10,13,3,2,N,N,7,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0
White,14,14,4,3,Y,N,9,9,3,2,0,0,0,0,6,6,0,5,0,11,11,0
Black,20,22,2,4,N,Y,12,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0
White,14,14,5,2,Y,N,9,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
White,20,20,8,7,N,N,11,11,4,3,5,0,5,11,0,16,5,27,11,0,11,16
White,15,14,4,4,Y,N,9,9,3,2,0,0,3,0,0,0,4,3,3,0,4,0
Black,19,19,1,3,N,Y,11,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,17,1,4,N,Y,9,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0
White,19,19,1,4,Y,N,12,12,1,3,0,0,8,0,12,5,3,16,0,16,7,5
Black,12,15,5,7,N,N,7,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,5,6,2,1,N,Y,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,14,1,4,N,Y,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,5,6,3,1,N,Y,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,5,6,4,1,N,Y,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
White,16,16,3,1,Y,N,10,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0
White,23,24,2,8,Y,N,12,14,1,4,3,0,3,3,3,0,9,14,7,6,4,5
White,20,17,7,1,Y,N,11,9,3,1,0,0,11,3,3,0,3,14,14,3,14,17
Black,8,10,3,3,N,Y,5,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,27,27,7,4,Y,N,16,16,4,3,1,0,0,1,7,0,4,9,5,5,4,9
Black,16,15,2,4,N,Y,10,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,17,18,2,3,Y,N,11,11,2,2,0,0,0,0,0,0,12,12,0,0,12,12
White,13,10,2,3,Y,N,8,5,1,1,0,0,0,0,0,12,12,0,0,0,12,0
White,21,21,4,3,Y,N,12,11,3,2,0,0,4,2,2,0,2,0,0,2,2,0
White,25,24,1,3,Y,N,14,13,1,2,0,0,0,0,1,0,1,2,1,1,1,1
Black,20,21,3,5,N,Y,11,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0
White,10,12,0,3,Y,N,5,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
White,6,6,1,0,Y,N,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,14,6,4,N,Y,8,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,20,3,8,N,Y,10,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,18,1,7,N,Y,11,11,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Black,9,9,2,4,N,Y,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,7,7,3,1,N,Y,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
White,21,21,4,4,Y,N,12,12,3,2,0,0,5,5,0,0,0,10,5,0,5,0
Black,24,25,7,4,N,Y,14,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,11,14,2,4,N,Y,7,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,8,13,0,3,N,Y,5,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,19,18,8,3,N,Y,10,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,16,3,3,N,Y,9,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,17,17,6,3,Y,N,9,9,2,2,0,0,7,0,0,0,0,14,7,0,7,7
White,8,6,4,0,Y,N,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,24,25,6,1,N,Y,13,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0
White,12,12,0,5,Y,N,7,7,0,2,0,0,0,0,0,0,0,19,0,0,19,0
White,25,26,6,6,Y,N,14,15,3,4,2,0,2,2,4,0,6,30,4,22,14,18
White,26,26,5,9,Y,N,15,15,3,6,2,0,0,2,11,0,15,24,4,9,11,15
Black,6,7,4,4,N,Y,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,11,8,4,0,Y,N,6,3,1,0,0,0,0,0,0,12,0,0,0,0,0,0
Black,9,13,0,3,N,N,5,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
White,4,4,3,0,Y,N,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
White,24,24,3,2,N,N,14,14,2,2,0,0,0,0,1,0,0,2,0,2,1,1
Black,12,11,8,0,N,Y,8,6,4,0,0,0,0,12,0,12,12,0,0,0,12,0
White,21,19,4,6,Y,N,12,11,1,2,0,0,4,2,4,0,0,18,7,0,13,4
White,19,19,4,6,Y,N,12,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0
White,19,19,7,7,Y,N,11,11,4,3,1,0,5,5,0,4,0,13,0,4,8,0
Black,16,16,4,3,N,N,9,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,6,7,1,0,Y,N,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
White,21,21,2,5,Y,N,12,12,1,3,0,0,1,4,1,0,3,7,0,4,4,0
Black,22,22,4,6,N,Y,13,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,12,11,8,1,Y,N,8,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
White,16,12,0,0,N,N,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,19,19,2,7,Y,N,11,11,2,3,0,0,0,0,0,0,1,3,1,2,2,0
White,9,11,2,1,N,N,5,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,18,7,6,N,Y,8,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,20,7,2,N,N,9,12,4,2,12,0,0,12,0,12,12,12,0,0,0,12
White,21,19,6,5,Y,N,12,10,3,2,0,0,5,5,0,5,3,11,8,0,8,6
White,12,7,4,1,Y,N,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
White,14,12,1,5,Y,N,9,8,1,3,0,0,1,0,0,0,0,2,0,0,1,0
Black,21,21,2,5,N,Y,12,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0
White,22,20,4,5,Y,N,13,11,3,2,3,0,3,13,5,0,3,20,8,13,13,10
White,6,6,3,1,Y,N,6,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0
White,17,20,0,3,Y,N,9,12,0,3,0,0,0,10,0,10,0,0,10,0,10,0
White,22,21,10,3,Y,N,13,12,5,2,3,0,0,3,6,0,9,18,0,0,6,6
White,21,21,6,4,Y,N,12,12,4,3,2,0,2,2,6,0,2,28,15,4,13,13
White,18,18,2,3,Y,N,10,10,1,2,0,0,0,8,0,0,0,16,8,0,8,0
Black,21,22,3,8,N,Y,12,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0
White,25,25,1,7,Y,N,14,14,1,4,0,0,4,3,8,1,14,26,14,18,12,24
White,20,21,5,7,Y,N,12,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,23,23,7,4,N,Y,13,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,8,8,4,4,N,Y,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,15,0,2,N,Y,8,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,16,4,0,N,N,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
White,18,18,5,6,Y,N,11,11,3,3,0,0,7,7,0,0,0,7,2,0,0,0
Black,8,8,3,6,N,Y,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,9,8,0,1,Y,N,6,6,0,1,6,0,0,0,0,6,6,6,0,0,3,0
Black,13,14,5,4,N,Y,9,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0
White,20,19,2,5,Y,N,12,11,2,2,0,0,0,3,0,3,3,3,0,12,6,6
White,15,12,2,2,Y,N,8,6,2,2,0,0,0,1,0,0,0,1,0,1,1,0
White,15,14,9,2,Y,N,8,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0
White,23,23,3,7,N,N,13,13,3,6,0,0,4,8,6,2,8,12,0,10,6,2
Black,15,18,2,6,N,Y,8,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,22,22,2,3,N,Y,13,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,18,6,6,N,Y,10,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,16,8,4,N,Y,11,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,26,26,7,3,N,Y,15,15,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,14,2,8,N,N,7,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
White,21,19,3,4,Y,N,12,12,2,3,0,0,5,7,0,5,7,7,2,0,7,7
White,19,18,3,7,Y,N,12,11,2,4,4,0,4,0,4,0,4,12,0,4,4,12
Black,9,9,2,2,N,Y,8,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,18,18,4,6,Y,N,11,11,2,3,0,0,0,0,11,0,11,11,0,22,11,0
White,18,17,4,4,Y,N,12,11,3,3,2,0,2,0,2,6,6,2,0,6,6,6
Black,17,17,4,3,N,N,10,9,1,1,0,0,0,5,5,0,0,5,5,0,5,0
White,18,16,8,2,Y,N,12,10,5,1,8,0,0,0,8,0,0,8,0,0,0,0
Black,17,21,5,5,N,Y,10,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,15,5,8,N,Y,11,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,13,2,5,N,Y,8,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0
White,10,8,5,2,Y,N,7,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,9,9,5,0,N,Y,8,6,5,0,5,0,0,0,0,5,0,0,0,0,0,0
Black,8,8,1,2,N,Y,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,18,7,1,N,N,10,11,3,1,0,0,14,14,0,0,0,14,14,0,14,0
White,9,10,1,7,Y,N,6,8,1,5,0,0,0,0,0,0,0,0,0,0,17,17
White,7,6,3,2,Y,N,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,11,3,1,N,Y,9,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
White,26,26,5,4,Y,N,15,15,3,3,2,0,2,2,1,0,2,18,10,19,8,9
White,15,16,4,6,Y,N,9,10,1,3,0,0,0,0,0,0,0,6,6,6,6,0
Black,9,15,0,3,N,N,5,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0
White,18,18,5,3,Y,N,10,10,4,3,0,0,0,0,0,6,6,12,6,6,6,0
White,19,17,6,1,Y,N,11,10,3,1,0,0,8,2,0,0,2,12,0,0,8,0
Black,24,24,2,7,N,Y,14,14,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,19,6,7,N,Y,10,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0
White,23,23,3,3,Y,N,13,13,2,2,0,0,1,1,5,1,4,9,0,5,5,4
Black,11,12,6,0,N,Y,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,16,5,1,N,Y,9,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,12,12,0,6,N,Y,7,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0
White,12,11,4,2,Y,N,9,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,16,2,6,N,N,10,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,14,14,4,6,N,Y,8,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,22,23,4,6,N,Y,12,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0
White,20,20,7,5,Y,N,12,12,3,4,3,0,0,9,6,0,0,12,9,3,6,0
White,24,24,6,8,Y,N,13,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,16,3,2,N,Y,9,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0
White,22,22,2,4,Y,N,13,13,2,3,4,0,4,4,13,0,5,28,1,1,10,5
Black,18,19,1,8,N,Y,11,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,18,10,6,N,Y,10,11,5,2,0,0,0,11,11,0,11,0,11,0,11,11
Black,8,11,4,1,N,Y,5,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
White,22,22,4,5,Y,N,13,13,1,4,7,0,7,0,0,0,0,11,2,0,9,4
Black,21,22,3,4,N,Y,12,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,20,10,9,N,Y,10,12,4,5,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,18,2,4,N,N,9,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,23,23,6,4,N,Y,13,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,9,5,0,4,N,N,5,2,0,1,0,0,0,0,0,0,0,0,12,0,0,0
Black,17,17,7,5,N,Y,11,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0
White,16,16,8,4,Y,N,11,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,18,9,1,N,Y,11,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0
White,17,17,7,5,Y,N,11,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,14,16,4,3,N,Y,9,11,2,2,0,0,12,0,0,0,0,0,0,12,12,12
Black,8,8,2,3,N,Y,6,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,20,18,4,1,N,N,11,10,2,1,5,0,5,0,5,0,5,8,5,0,9,0
Black,4,4,0,1,N,Y,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,18,3,7,N,Y,10,11,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,17,8,4,N,Y,11,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,27,27,6,4,Y,N,16,16,4,3,0,0,8,3,9,5,10,20,9,13,11,20
Black,25,25,6,6,N,Y,14,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,9,12,1,1,N,Y,6,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,23,2,2,N,Y,11,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,14,3,2,N,Y,10,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0
White,21,19,2,7,Y,N,11,10,2,3,6,0,8,4,6,2,2,16,4,8,4,10
Black,4,5,3,3,N,Y,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,10,11,2,4,N,Y,6,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,19,6,3,N,Y,10,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,15,5,4,N,N,9,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0
White,12,12,4,1,Y,N,9,9,3,1,0,0,0,0,0,0,0,14,0,14,0,0
Black,19,19,3,3,N,Y,11,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,23,6,5,N,Y,12,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0
White,21,20,5,4,Y,N,12,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,8,6,6,2,Y,N,6,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0
White,18,16,4,5,Y,N,10,10,3,2,0,0,1,0,0,0,0,1,0,0,1,0
Black,17,21,7,2,N,Y,10,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,22,20,2,4,Y,N,13,11,2,3,2,0,2,2,0,0,8,20,12,0,10,17
Black,12,13,4,0,N,Y,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
White,16,19,2,6,Y,N,9,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,2,2,0,2,Y,N,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,22,23,4,3,N,Y,13,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,11,11,4,2,Y,N,8,8,3,2,0,0,0,0,0,0,0,12,0,0,12,0
Black,17,18,3,3,N,N,10,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,6,9,4,3,N,Y,4,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,18,5,3,N,Y,12,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,17,2,2,N,Y,10,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,17,5,0,N,Y,10,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
White,23,23,5,5,Y,N,13,13,3,3,6,0,6,6,0,6,12,0,6,6,0,0
White,21,21,4,5,Y,N,12,12,3,3,5,0,5,5,9,0,0,13,9,9,4,4
White,5,5,2,2,Y,N,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,14,16,1,3,N,Y,8,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0
White,19,18,9,7,Y,N,11,10,5,3,9,0,0,9,0,9,15,30,9,0,15,6
Black,19,19,3,4,N,Y,11,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,18,0,5,N,Y,9,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,19,21,0,6,N,Y,11,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0
White,21,17,8,2,Y,N,12,9,4,2,2,0,4,0,4,2,0,4,4,4,2,0
White,12,9,3,2,Y,N,7,7,1,2,0,0,16,2,0,0,0,14,0,0,2,0
Black,23,26,6,4,N,N,13,15,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,23,24,6,9,N,Y,12,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,6,5,5,0,N,Y,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
White,21,20,1,5,Y,N,12,11,1,3,4,0,4,8,4,0,4,8,8,0,4,8
White,9,10,3,4,N,N,6,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,24,24,4,4,N,Y,14,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,23,21,3,3,Y,N,13,12,2,2,1,0,6,5,9,5,0,10,0,2,9,15
White,15,13,3,4,Y,N,9,8,3,2,5,0,16,0,0,5,13,8,0,3,3,0
White,19,19,7,2,Y,N,11,11,3,2,0,0,0,0,0,0,5,28,9,0,14,9
Black,21,24,4,5,N,Y,12,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,7,11,5,0,N,Y,7,7,5,0,0,0,0,0,0,14,0,0,0,0,14,0
Black,14,14,6,6,N,Y,9,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,20,20,5,2,N,Y,12,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0
White,17,16,7,3,Y,N,10,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,18,4,4,N,N,9,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,20,6,3,N,Y,11,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,21,19,3,3,N,N,12,11,2,2,1,0,1,5,0,2,4,6,2,10,5,6
